Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
4         ,9         ,004_docked_13.sdf        ,009_docked_3.sdf         ,0.31664        ,0.31664        ,0.31664        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,17:23,18:19,19:20,20:22,21:21,22:17,24:24
4         ,10        ,004_docked_13.sdf        ,010_docked_4.sdf         ,0.86071        ,0.86071        ,0.86071        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:21,18:17,19:18,20:20,21:19,22:22,24:23,25:26,26:25,27:24
4         ,11        ,004_docked_13.sdf        ,011_docked_5.sdf         ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:17,16:15,17:22,18:18,19:19,20:20,21:21,22:16,24:23
4         ,12        ,004_docked_13.sdf        ,012_docked_6.sdf         ,0.95123        ,0.95123        ,0.95123        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,24:23,25:24,26:25,27:26,28:27,29:28,30:29
4         ,13        ,004_docked_13.sdf        ,013_docked_7.sdf         ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:19,19:20,20:21,21:22,22:23,24:24,25:25,26:26,27:27,29:18
4         ,14        ,004_docked_13.sdf        ,014_docked_9.sdf         ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:21,22:22,24:23,25:24,26:25,27:26,28:27,30:28
5         ,6         ,005_docked_14.sdf        ,006_docked_15.sdf        ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:18,19:19,20:20,21:22,23:23
5         ,7         ,005_docked_14.sdf        ,007_docked_16.sdf        ,0.67032        ,0.67032        ,0.67032        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:18,17:16,18:19,19:20,20:21,21:22,22:23,23:24
5         ,8         ,005_docked_14.sdf        ,008_docked_2.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:21,23:24
5         ,9         ,005_docked_14.sdf        ,009_docked_3.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:11,12:12,13:13,14:14,19:21,20:22,23:24
5         ,10        ,005_docked_14.sdf        ,010_docked_4.sdf         ,0.07427        ,0.07427        ,0.07427        ,No        ,6:6,11:12,12:11,13:13,14:14,19:19,20:20,23:23
5         ,11        ,005_docked_14.sdf        ,011_docked_5.sdf         ,0.07427        ,0.07427        ,0.07427        ,No        ,6:6,11:12,12:11,13:13,14:14,19:20,20:21,23:23
5         ,12        ,005_docked_14.sdf        ,012_docked_6.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:21,23:23
5         ,13        ,005_docked_14.sdf        ,013_docked_7.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:11,12:12,13:13,14:14,19:21,20:22,23:24
5         ,14        ,005_docked_14.sdf        ,014_docked_9.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:12,12:11,13:13,14:14,19:20,20:21,23:23
6         ,7         ,006_docked_15.sdf        ,007_docked_16.sdf        ,0.74082        ,0.74082        ,0.74082        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:18,17:16,18:19,19:20,20:21,21:17,22:22,23:24
6         ,8         ,006_docked_15.sdf        ,008_docked_2.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:21,23:24
6         ,9         ,006_docked_15.sdf        ,009_docked_3.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:11,12:12,13:13,14:14,19:22,20:21,23:24
6         ,10        ,006_docked_15.sdf        ,010_docked_4.sdf         ,0.07427        ,0.07427        ,0.07427        ,No        ,6:6,11:12,12:11,13:13,14:14,19:20,20:19,23:23
6         ,11        ,006_docked_15.sdf        ,011_docked_5.sdf         ,0.07427        ,0.07427        ,0.07427        ,No        ,6:6,11:12,12:11,13:13,14:14,19:21,20:20,23:23
6         ,12        ,006_docked_15.sdf        ,012_docked_6.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:11,12:12,13:13,14:14,19:20,20:21,23:23
6         ,13        ,006_docked_15.sdf        ,013_docked_7.sdf         ,0.06081        ,0.06081        ,0.06081        ,No        ,6:6,11:11,12:12,13:13,14:14,19:21,20:22,23:24
6         ,14        ,006_docked_15.sdf        ,014_docked_9.sdf         ,0.06721        ,0.06721        ,0.06721        ,No        ,6:6,11:12,12:11,13:13,14:14,19:20,20:21,23:23
7         ,8         ,007_docked_16.sdf        ,008_docked_2.sdf         ,0.24660        ,0.24660        ,0.24660        ,No        ,0:1,1:0,2:9,5:22,6:6,7:8,8:7,9:2,10:23,11:12,12:11,13:13,14:14,15:18,18:15,20:21,21:20,22:10,24:24
7         ,9         ,007_docked_16.sdf        ,009_docked_3.sdf         ,0.04505        ,0.04505        ,0.04505        ,No        ,6:6,11:12,12:11,13:13,14:14,20:22,21:21,24:24
7         ,10        ,007_docked_16.sdf        ,010_docked_4.sdf         ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:11,12:12,13:13,14:14,20:20,21:19,24:23
7         ,11        ,007_docked_16.sdf        ,011_docked_5.sdf         ,0.05502        ,0.05502        ,0.05502        ,No        ,6:6,11:11,12:12,13:13,14:14,20:21,21:20,24:23
7         ,12        ,007_docked_16.sdf        ,012_docked_6.sdf         ,0.24660        ,0.24660        ,0.24660        ,No        ,0:1,1:0,2:9,6:6,7:8,8:7,9:2,10:22,11:12,12:11,13:13,14:14,15:18,18:15,20:20,21:21,22:10,24:23
7         ,13        ,007_docked_16.sdf        ,013_docked_7.sdf         ,0.22313        ,0.22313        ,0.22313        ,No        ,0:1,1:0,2:9,6:6,7:8,8:7,9:2,10:23,11:12,12:11,13:13,14:14,15:19,18:15,20:21,21:22,22:10,24:24
7         ,14        ,007_docked_16.sdf        ,014_docked_9.sdf         ,0.24660        ,0.24660        ,0.24660        ,No        ,0:1,1:0,2:9,6:6,7:8,8:7,9:2,10:22,11:11,12:12,13:13,14:14,15:18,18:15,20:20,21:21,22:10,24:23
8         ,9         ,008_docked_2.sdf         ,009_docked_3.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,18:19,19:20,20:21,21:22,22:23,23:17,24:24
